date,campaign_name,campaign_id,spend
1/3/2014,MAR_2014_Campaign,10011,596
2/3/2014,MAR_2014_Campaign,10011,506
3/3/2014,MAR_2014_Campaign,10011,248
4/3/2014,MAR_2014_Campaign,10011,286
5/3/2014,MAR_2014_Campaign,10011,118
6/3/2014,MAR_2014_Campaign,10011,258
7/3/2014,MAR_2014_Campaign,10011,295
8/3/2014,MAR_2014_Campaign,10011,200
9/3/2014,MAR_2014_Campaign,10011,382
10/3/2014,MAR_2014_Campaign,10011,156
11/3/2014,MAR_2014_Campaign,10011,181
12/3/2014,MAR_2014_Campaign,10011,130
3/13/2014,MAR_2014_Campaign,10011,284
3/14/2014,MAR_2014_Campaign,10011,261
3/15/2014,MAR_2014_Campaign,10011,416
3/16/2014,MAR_2014_Campaign,10011,338
3/17/2014,MAR_2014_Campaign,10011,117
3/18/2014,MAR_2014_Campaign,10011,161
3/19/2014,MAR_2014_Campaign,10011,196
3/20/2014,MAR_2014_Campaign,10011,259
3/21/2014,MAR_2014_Campaign,10011,108
3/22/2014,MAR_2014_Campaign,10011,214
3/23/2014,MAR_2014_Campaign,10011,346
3/24/2014,MAR_2014_Campaign,10011,202
3/25/2014,MAR_2014_Campaign,10011,289
3/26/2014,MAR_2014_Campaign,10011,175
3/27/2014,MAR_2014_Campaign,10011,248
3/28/2014,MAR_2014_Campaign,10011,187
3/29/2014,MAR_2014_Campaign,10011,208
3/30/2014,MAR_2014_Campaign,10011,396
3/31/2014,MAR_2014_Campaign,10011,135
1/9/2014,SEP_2014_Campaign,10012,180
2/9/2014,SEP_2014_Campaign,10012,144
3/9/2014,SEP_2014_Campaign,10012,121
4/9/2014,SEP_2014_Campaign,10012,158
5/9/2014,SEP_2014_Campaign,10012,234
6/9/2014,SEP_2014_Campaign,10012,314
7/9/2014,SEP_2014_Campaign,10012,380
8/9/2014,SEP_2014_Campaign,10012,249
9/9/2014,SEP_2014_Campaign,10012,173
10/9/2014,SEP_2014_Campaign,10012,193
11/9/2014,SEP_2014_Campaign,10012,226
12/9/2014,SEP_2014_Campaign,10012,269
9/13/2014,SEP_2014_Campaign,10012,394
9/14/2014,SEP_2014_Campaign,10012,332
9/15/2014,SEP_2014_Campaign,10012,259
9/16/2014,SEP_2014_Campaign,10012,112
9/17/2014,SEP_2014_Campaign,10012,225
9/18/2014,SEP_2014_Campaign,10012,232
9/19/2014,SEP_2014_Campaign,10012,193
9/20/2014,SEP_2014_Campaign,10012,396
9/21/2014,SEP_2014_Campaign,10012,316
9/22/2014,SEP_2014_Campaign,10012,206
9/23/2014,SEP_2014_Campaign,10012,201
9/24/2014,SEP_2014_Campaign,10012,164
9/25/2014,SEP_2014_Campaign,10012,103
9/26/2014,SEP_2014_Campaign,10012,174
9/27/2014,SEP_2014_Campaign,10012,246
9/28/2014,SEP_2014_Campaign,10012,582
9/29/2014,SEP_2014_Campaign,10012,214
9/30/2014,SEP_2014_Campaign,10012,275
1/11/2014,NOV_2014_Campaign,10013,390
2/11/2014,NOV_2014_Campaign,10013,578
3/11/2014,NOV_2014_Campaign,10013,247
4/11/2014,NOV_2014_Campaign,10013,174
5/11/2014,NOV_2014_Campaign,10013,191
6/11/2014,NOV_2014_Campaign,10013,155
7/11/2014,NOV_2014_Campaign,10013,171
8/11/2014,NOV_2014_Campaign,10013,270
9/11/2014,NOV_2014_Campaign,10013,312
11/10/2014,NOV_2014_Campaign,10013,115
11/11/2014,NOV_2014_Campaign,10013,233
11/12/2014,NOV_2014_Campaign,10013,213
11/13/2014,NOV_2014_Campaign,10013,197
11/14/2014,NOV_2014_Campaign,10013,182
11/15/2014,NOV_2014_Campaign,10013,494
11/16/2014,NOV_2014_Campaign,10013,404
11/17/2014,NOV_2014_Campaign,10013,119
11/18/2014,NOV_2014_Campaign,10013,290
11/19/2014,NOV_2014_Campaign,10013,247
11/20/2014,NOV_2014_Campaign,10013,159
11/21/2014,NOV_2014_Campaign,10013,250
11/22/2014,NOV_2014_Campaign,10013,598
11/23/2014,NOV_2014_Campaign,10013,238
11/24/2014,NOV_2014_Campaign,10013,165
11/25/2014,NOV_2014_Campaign,10013,285
11/26/2014,NOV_2014_Campaign,10013,199
11/27/2014,NOV_2014_Campaign,10013,242
11/28/2014,NOV_2014_Campaign,10013,256
11/29/2014,NOV_2014_Campaign,10013,438
11/30/2014,NOV_2014_Campaign,10013,404
1/12/2014,DEC_2014_Campaign,10014,191
2/12/2014,DEC_2014_Campaign,10014,173
3/12/2014,DEC_2014_Campaign,10014,180
4/12/2014,DEC_2014_Campaign,10014,208
5/12/2014,DEC_2014_Campaign,10014,190
6/12/2014,DEC_2014_Campaign,10014,498
7/12/2014,DEC_2014_Campaign,10014,456
8/12/2014,DEC_2014_Campaign,10014,133
9/12/2014,DEC_2014_Campaign,10014,116
12/10/2014,DEC_2014_Campaign,10014,238
12/11/2014,DEC_2014_Campaign,10014,148
12/12/2014,DEC_2014_Campaign,10014,206
12/13/2014,DEC_2014_Campaign,10014,402
12/14/2014,DEC_2014_Campaign,10014,372
12/15/2014,DEC_2014_Campaign,10014,206
12/16/2014,DEC_2014_Campaign,10014,144
12/17/2014,DEC_2014_Campaign,10014,150
12/18/2014,DEC_2014_Campaign,10014,116
12/19/2014,DEC_2014_Campaign,10014,155
12/20/2014,DEC_2014_Campaign,10014,484
12/21/2014,DEC_2014_Campaign,10014,586
12/22/2014,DEC_2014_Campaign,10014,277
12/23/2014,DEC_2014_Campaign,10014,127
12/24/2014,DEC_2014_Campaign,10014,295
12/25/2014,DEC_2014_Campaign,10014,126
12/26/2014,DEC_2014_Campaign,10014,254
12/27/2014,DEC_2014_Campaign,10014,528
12/28/2014,DEC_2014_Campaign,10014,238
12/29/2014,DEC_2014_Campaign,10014,131
12/30/2014,DEC_2014_Campaign,10014,299
12/31/2014,DEC_2014_Campaign,10014,221
1/5/2016,MAY_2016_Campaign,10018,338
2/5/2016,MAY_2016_Campaign,10018,261
3/5/2016,MAY_2016_Campaign,10018,176
4/5/2016,MAY_2016_Campaign,10018,179
5/5/2016,MAY_2016_Campaign,10018,253
6/5/2016,MAY_2016_Campaign,10018,258
7/5/2016,MAY_2016_Campaign,10018,522
8/5/2016,MAY_2016_Campaign,10018,238
9/5/2016,MAY_2016_Campaign,10018,215
10/5/2016,MAY_2016_Campaign,10018,276
11/5/2016,MAY_2016_Campaign,10018,177
12/5/2016,MAY_2016_Campaign,10018,225
5/13/2016,MAY_2016_Campaign,10018,121
5/14/2016,MAY_2016_Campaign,10018,506
5/15/2016,MAY_2016_Campaign,10018,262
5/16/2016,MAY_2016_Campaign,10018,165
5/17/2016,MAY_2016_Campaign,10018,116
5/18/2016,MAY_2016_Campaign,10018,209
5/19/2016,MAY_2016_Campaign,10018,236
5/20/2016,MAY_2016_Campaign,10018,232
5/21/2016,MAY_2016_Campaign,10018,362
5/22/2016,MAY_2016_Campaign,10018,326
5/23/2016,MAY_2016_Campaign,10018,261
5/24/2016,MAY_2016_Campaign,10018,112
5/25/2016,MAY_2016_Campaign,10018,182
5/26/2016,MAY_2016_Campaign,10018,202
5/27/2016,MAY_2016_Campaign,10018,111
5/28/2016,MAY_2016_Campaign,10018,480
5/29/2016,MAY_2016_Campaign,10018,532
5/30/2016,MAY_2016_Campaign,10018,275
5/31/2016,MAY_2016_Campaign,10018,151
1/9/2015,SEP_2015_Campaign,10015,100
2/9/2015,SEP_2015_Campaign,10015,275
3/9/2015,SEP_2015_Campaign,10015,268
4/9/2015,SEP_2015_Campaign,10015,245
5/9/2015,SEP_2015_Campaign,10015,436
6/9/2015,SEP_2015_Campaign,10015,420
7/9/2015,SEP_2015_Campaign,10015,131
8/9/2015,SEP_2015_Campaign,10015,124
9/9/2015,SEP_2015_Campaign,10015,198
10/9/2015,SEP_2015_Campaign,10015,184
11/9/2015,SEP_2015_Campaign,10015,108
12/9/2015,SEP_2015_Campaign,10015,554
9/13/2015,SEP_2015_Campaign,10015,334
9/14/2015,SEP_2015_Campaign,10015,291
9/15/2015,SEP_2015_Campaign,10015,242
9/16/2015,SEP_2015_Campaign,10015,198
9/17/2015,SEP_2015_Campaign,10015,162
9/18/2015,SEP_2015_Campaign,10015,245
9/19/2015,SEP_2015_Campaign,10015,584
9/20/2015,SEP_2015_Campaign,10015,480
9/21/2015,SEP_2015_Campaign,10015,212
9/22/2015,SEP_2015_Campaign,10015,122
9/23/2015,SEP_2015_Campaign,10015,282
9/24/2015,SEP_2015_Campaign,10015,105
9/25/2015,SEP_2015_Campaign,10015,159
9/26/2015,SEP_2015_Campaign,10015,236
9/27/2015,SEP_2015_Campaign,10015,500
9/28/2015,SEP_2015_Campaign,10015,221
9/29/2015,SEP_2015_Campaign,10015,292
9/30/2015,SEP_2015_Campaign,10015,139
1/11/2015,NOV_2015_Campaign,10016,290
2/11/2015,NOV_2015_Campaign,10016,144
3/11/2015,NOV_2015_Campaign,10016,183
4/11/2015,NOV_2015_Campaign,10016,110
5/11/2015,NOV_2015_Campaign,10016,100
6/11/2015,NOV_2015_Campaign,10016,149
7/11/2015,NOV_2015_Campaign,10016,436
8/11/2015,NOV_2015_Campaign,10016,256
9/11/2015,NOV_2015_Campaign,10016,136
11/10/2015,NOV_2015_Campaign,10016,279
11/11/2015,NOV_2015_Campaign,10016,154
11/12/2015,NOV_2015_Campaign,10016,171
11/13/2015,NOV_2015_Campaign,10016,292
11/14/2015,NOV_2015_Campaign,10016,236
11/15/2015,NOV_2015_Campaign,10016,226
11/16/2015,NOV_2015_Campaign,10016,239
11/17/2015,NOV_2015_Campaign,10016,270
11/18/2015,NOV_2015_Campaign,10016,243
11/19/2015,NOV_2015_Campaign,10016,116
11/20/2015,NOV_2015_Campaign,10016,116
11/21/2015,NOV_2015_Campaign,10016,368
11/22/2015,NOV_2015_Campaign,10016,532
11/23/2015,NOV_2015_Campaign,10016,206
11/24/2015,NOV_2015_Campaign,10016,226
11/25/2015,NOV_2015_Campaign,10016,236
11/26/2015,NOV_2015_Campaign,10016,290
11/27/2015,NOV_2015_Campaign,10016,170
11/28/2015,NOV_2015_Campaign,10016,230
11/29/2015,NOV_2015_Campaign,10016,334
11/30/2015,NOV_2015_Campaign,10016,273
1/12/2015,DEC_2015_Campaign,10017,110
2/12/2015,DEC_2015_Campaign,10017,271
3/12/2015,DEC_2015_Campaign,10017,131
4/12/2015,DEC_2015_Campaign,10017,225
5/12/2015,DEC_2015_Campaign,10017,542
6/12/2015,DEC_2015_Campaign,10017,396
7/12/2015,DEC_2015_Campaign,10017,247
8/12/2015,DEC_2015_Campaign,10017,165
9/12/2015,DEC_2015_Campaign,10017,164
12/10/2015,DEC_2015_Campaign,10017,261
12/11/2015,DEC_2015_Campaign,10017,221
12/12/2015,DEC_2015_Campaign,10017,260
12/13/2015,DEC_2015_Campaign,10017,232
12/14/2015,DEC_2015_Campaign,10017,163
12/15/2015,DEC_2015_Campaign,10017,156
12/16/2015,DEC_2015_Campaign,10017,120
12/17/2015,DEC_2015_Campaign,10017,103
12/18/2015,DEC_2015_Campaign,10017,277
12/19/2015,DEC_2015_Campaign,10017,332
12/20/2015,DEC_2015_Campaign,10017,434
12/21/2015,DEC_2015_Campaign,10017,184
12/22/2015,DEC_2015_Campaign,10017,174
12/23/2015,DEC_2015_Campaign,10017,244
12/24/2015,DEC_2015_Campaign,10017,140
12/25/2015,DEC_2015_Campaign,10017,211
12/26/2015,DEC_2015_Campaign,10017,294
